Title,Title_URL,Image,gs_ai_aff,gs_ai_eml,Number,gs_ai_one_int,gs_ai_one_int2,gs_ai_one_int4,,,hi
Boris Ljubenkov,https://scholar.google.com/citations?hl=en&user=QqJImqoAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of electrical engineering, mechanical engineering and naval …",Verified email at fesb.hr,72,shipbuilding technology,shipbuilding production process,shipyard design,,,4
Gojko Magazinović,https://scholar.google.com/citations?hl=en&user=wClXOWAAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,63,konstruiranje pomoću računala,primjena računala,optimiranje,,,5
Jure Krolo,https://scholar.google.com/citations?hl=en&user=2HQsF1sAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=2HQsF1sAAAAJ&citpid=1,"University of Split, FESB, Croatia",Verified email at fesb.hr,62,Metal forming,Materials,,,,4
Elis Sutlović,https://scholar.google.com/citations?hl=en&user=RkbtgxEAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Full Professor, University of Split, unist.hr, Faculty of Elecrtical Engineering, Mechanical",Verified email at fesb.hr,61,Power system planning,power system operation and control,,,,5
Jure Krolo,https://scholar.google.com/citations?hl=en&user=akQLuEAAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Teaching assistant, Faculty of Electrical Engineering, Mechanical …",Verified email at fesb.hr,60,Obrada deformiranjem,materijali,matematičko modeliranje,,,4
Nevena Jakovčević Stor,https://scholar.google.com/citations?hl=en&user=2NorFuAAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Assistant professor, University of Split, Faculty of Electrical Engineering, Mechanical …",Verified email at fesb.hr,59,Numerical linear algebra,,,,,2
Damir Sedlar,https://scholar.google.com/citations?hl=en&user=cCayjsYAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval …",Verified email at fesb.hr,57,Mechanic,Optimization,Vibration,,,3
Marko Vukasović,https://scholar.google.com/citations?hl=en&user=DC2xIysAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Research Assistant, University of Split, Faculty of Electrical Engineering, Mechanical …",Verified email at fesb.hr,55,Structural mechanics,Mechanics of materials,Thin-walled structures,,,4
Daniela Matić,https://scholar.google.com/citations?hl=en&user=M-2V9HIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=M-2V9HIAAAAJ&citpid=2,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,54,pragmatics,sociolinguistics,critical discourse analysis,,,3
Stanko Kružić,https://scholar.google.com/citations?hl=en&user=NWV4Fp8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=NWV4Fp8AAAAJ&citpid=2,"University of Split, unist.hr, FESB",Verified email at fesb.hr,50,robotics,AI,computer vision,,,4
Nina Sirković,https://scholar.google.com/citations?hl=en&user=gZGblkgAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,University of Split,Verified email at fesb.hr,47,literature,ESP,communication skills,,,4
